"Date","Price","Open","High","Low","Change %"
"Jan 03, 2010","1.1118","1.1283","1.1293","1.1075","-1.51%"
"Dec 27, 2009","1.1288","1.1079","1.1296","1.1040","1.80%"
"Dec 20, 2009","1.1088","1.1267","1.1286","1.1054","-1.52%"
"Dec 13, 2009","1.1259","1.1108","1.1301","1.1048","1.31%"
"Dec 06, 2009","1.1113","1.1057","1.1137","1.0989","0.32%"
"Nov 29, 2009","1.1077","1.1001","1.1124","1.0919","0.63%"
"Nov 22, 2009","1.1008","1.1101","1.1140","1.0943","-0.91%"
"Nov 15, 2009","1.1109","1.1196","1.1322","1.1084","-0.70%"
"Nov 08, 2009","1.1187","1.1188","1.1239","1.1028","-0.05%"
"Nov 01, 2009","1.1193","1.1155","1.1212","1.1033","0.19%"
"Oct 25, 2009","1.1172","1.0862","1.1224","1.0818","2.79%"
"Oct 18, 2009","1.0869","1.0951","1.1117","1.0844","-0.95%"
"Oct 11, 2009","1.0973","1.0767","1.1000","1.0619","2.06%"
"Oct 04, 2009","1.0751","1.0922","1.0944","1.0746","-1.72%"
"Sep 27, 2009","1.0939","1.0860","1.1019","1.0747","0.70%"
"Sep 20, 2009","1.0863","1.1037","1.1132","1.0843","-1.79%"
"Sep 13, 2009","1.1061","1.1424","1.1441","1.1037","-3.29%"
"Sep 06, 2009","1.1437","1.1449","1.1473","1.1322","-0.28%"
"Aug 30, 2009","1.1469","1.1366","1.1492","1.1316","0.80%"
"Aug 23, 2009","1.1378","1.1501","1.1553","1.1308","-1.28%"
"Aug 16, 2009","1.1525","1.1631","1.1736","1.1490","-1.02%"
"Aug 09, 2009","1.1644","1.1759","1.1777","1.1554","-0.97%"
"Aug 02, 2009","1.1758","1.1709","1.1829","1.1632","0.20%"
"Jul 26, 2009","1.1734","1.1561","1.1764","1.1509","1.44%"
"Jul 19, 2009","1.1567","1.1572","1.1681","1.1499","-0.14%"
"Jul 12, 2009","1.1583","1.1603","1.1700","1.1490","-0.38%"
"Jul 05, 2009","1.1627","1.1666","1.1719","1.1528","-0.63%"
"Jun 28, 2009","1.1701","1.1730","1.1856","1.1582","-0.44%"
"Jun 21, 2009","1.1753","1.1828","1.1907","1.1624","-0.73%"
"Jun 14, 2009","1.1839","1.1741","1.1875","1.1619","0.96%"
"Jun 07, 2009","1.1726","1.1437","1.1792","1.1366","2.54%"
"May 31, 2009","1.1435","1.1450","1.1665","1.1273","0.00%"
"May 24, 2009","1.1435","1.1347","1.1561","1.1330","0.42%"
"May 17, 2009","1.1387","1.1250","1.1469","1.1240","1.34%"
"May 10, 2009","1.1236","1.1154","1.1267","1.1060","0.57%"
"May 03, 2009","1.1172","1.1231","1.1414","1.1136","-0.67%"
"Apr 26, 2009","1.1247","1.1067","1.1266","1.1037","1.57%"
"Apr 19, 2009","1.1073","1.1326","1.1370","1.1006","-2.40%"
"Apr 12, 2009","1.1345","1.1093","1.1385","1.1076","1.99%"
"Apr 05, 2009","1.1124","1.0983","1.1182","1.0964","1.12%"
"Mar 29, 2009","1.1001","1.0767","1.1065","1.0701","2.17%"
"Mar 22, 2009","1.0767","1.0579","1.0923","1.0571","1.08%"
"Mar 15, 2009","1.0652","1.0829","1.0936","1.0524","-1.70%"
"Mar 08, 2009","1.0836","1.1120","1.1174","1.0720","-2.76%"
"Mar 01, 2009","1.1143","1.1315","1.1351","1.1092","-1.34%"
"Feb 22, 2009","1.1294","1.1238","1.1458","1.1129","0.47%"
"Feb 15, 2009","1.1241","1.1111","1.1402","1.1092","0.62%"
"Feb 08, 2009","1.1172","1.1405","1.1578","1.1016","-2.36%"
"Feb 01, 2009","1.1442","1.1327","1.1546","1.1004","0.82%"
"Jan 25, 2009","1.1349","1.0624","1.1355","1.0499","6.72%"
"Jan 18, 2009","1.0634","1.1122","1.1158","1.0549","-4.06%"
"Jan 11, 2009","1.1084","1.1235","1.1311","1.0950","-1.86%"
"Jan 04, 2009","1.1294","1.0449","1.1317","1.0376","7.89%"
"Dec 28, 2008","1.0468","1.0422","1.0599","1.0193","0.47%"
"Dec 21, 2008","1.0419","1.0725","1.0743","1.0411","-2.88%"
"Dec 14, 2008","1.0728","1.1185","1.1260","1.0449","-4.03%"
"Dec 07, 2008","1.1178","1.1583","1.1659","1.1105","-3.57%"
"Nov 30, 2008","1.1592","1.2082","1.2133","1.1456","-4.42%"
"Nov 23, 2008","1.2128","1.1844","1.2150","1.1660","2.44%"
"Nov 16, 2008","1.1839","1.1683","1.1997","1.1664","1.57%"
"Nov 09, 2008","1.1656","1.2328","1.2343","1.1538","-5.30%"
"Nov 02, 2008","1.2308","1.2605","1.2763","1.2197","-2.48%"
"Oct 26, 2008","1.2621","1.2552","1.2818","1.2301","0.05%"
"Oct 19, 2008","1.2615","1.2911","1.2999","1.2199","-2.16%"
"Oct 12, 2008","1.2893","1.2618","1.2932","1.2544","1.47%"
"Oct 05, 2008","1.2706","1.2940","1.2986","1.2380","-1.24%"
"Sep 28, 2008","1.2866","1.2669","1.2896","1.2461","1.93%"
"Sep 21, 2008","1.2623","1.2662","1.2688","1.2524","-0.31%"
"Sep 14, 2008","1.2662","1.2612","1.2750","1.2485","0.38%"
"Sep 07, 2008","1.2614","1.2420","1.2641","1.2370","1.92%"
"Aug 31, 2008","1.2376","1.2325","1.2422","1.2211","-0.29%"
"Aug 24, 2008","1.2412","1.2515","1.2598","1.2379","-0.87%"
"Aug 17, 2008","1.2521","1.2693","1.2706","1.2511","-1.44%"
"Aug 10, 2008","1.2704","1.2804","1.2836","1.2507","-0.73%"
"Aug 03, 2008","1.2798","1.2683","1.2807","1.2581","0.84%"
"Jul 27, 2008","1.2691","1.2681","1.2747","1.2603","0.16%"
"Jul 20, 2008","1.2671","1.2599","1.2756","1.2533","0.48%"
"Jul 13, 2008","1.2610","1.2468","1.2649","1.2461","1.00%"
"Jul 06, 2008","1.2485","1.2628","1.2657","1.2467","-1.12%"
"Jun 29, 2008","1.2626","1.2638","1.2708","1.2494","-0.01%"
"Jun 22, 2008","1.2627","1.2634","1.2674","1.2574","-0.23%"
"Jun 15, 2008","1.2656","1.2638","1.2743","1.2566","-0.02%"
"Jun 08, 2008","1.2658","1.2471","1.2708","1.2442","1.36%"
"Jun 01, 2008","1.2488","1.2703","1.2731","1.2483","-2.02%"
"May 25, 2008","1.2746","1.2558","1.2767","1.2520","1.51%"
"May 18, 2008","1.2557","1.2545","1.2618","1.2443","-0.03%"
"May 11, 2008","1.2561","1.2615","1.2700","1.2514","-0.48%"
"May 04, 2008","1.2622","1.2783","1.2795","1.2588","-1.24%"
"Apr 27, 2008","1.2780","1.2704","1.2877","1.2581","0.58%"
"Apr 20, 2008","1.2706","1.2632","1.2740","1.2418","0.61%"
"Apr 13, 2008","1.2629","1.2519","1.2700","1.2344","1.30%"
"Apr 06, 2008","1.2467","1.2674","1.2712","1.2435","-1.56%"
"Mar 30, 2008","1.2664","1.2624","1.2784","1.2525","0.36%"
"Mar 23, 2008","1.2619","1.2846","1.2912","1.2606","-1.77%"
"Mar 16, 2008","1.2847","1.2826","1.2888","1.2636","-0.26%"
"Mar 09, 2008","1.2881","1.3125","1.3173","1.2866","-1.86%"
"Mar 02, 2008","1.3125","1.3086","1.3161","1.2994","0.29%"
"Feb 24, 2008","1.3087","1.3269","1.3308","1.3019","-1.33%"
"Feb 17, 2008","1.3263","1.3330","1.3373","1.3185","-0.75%"
"Feb 10, 2008","1.3363","1.3398","1.3510","1.3312","-0.33%"
"Feb 03, 2008","1.3407","1.3271","1.3470","1.3252","0.95%"
"Jan 27, 2008","1.3281","1.3511","1.3532","1.3250","-1.70%"
"Jan 20, 2008","1.3510","1.3402","1.3524","1.3344","1.00%"
"Jan 13, 2008","1.3376","1.3241","1.3490","1.3131","1.00%"
"Jan 06, 2008","1.3243","1.3381","1.3474","1.3178","-0.96%"
"Dec 30, 2007","1.3371","1.3553","1.3662","1.3343","-1.28%"
"Dec 23, 2007","1.3544","1.3793","1.3813","1.3529","-1.89%"
"Dec 16, 2007","1.3805","1.4001","1.4058","1.3778","-1.26%"
"Dec 09, 2007","1.3981","1.3851","1.4008","1.3850","0.87%"
"Dec 02, 2007","1.3861","1.4037","1.4107","1.3808","-1.41%"
"Nov 25, 2007","1.4059","1.3899","1.4065","1.3892","1.22%"
"Nov 18, 2007","1.3889","1.4000","1.4036","1.3854","-0.86%"
"Nov 11, 2007","1.4010","1.4212","1.4271","1.3939","-1.66%"
"Nov 04, 2007","1.4247","1.4386","1.4421","1.4232","-1.12%"
"Oct 28, 2007","1.4408","1.4249","1.4453","1.4240","1.02%"
"Oct 21, 2007","1.4262","1.4330","1.4417","1.4246","-0.59%"
"Oct 14, 2007","1.4346","1.4348","1.4397","1.4277","-0.13%"
"Oct 07, 2007","1.4365","1.4429","1.4507","1.4266","-0.57%"
"Sep 30, 2007","1.4448","1.4336","1.4489","1.4322","0.73%"
"Sep 23, 2007","1.4343","1.4336","1.4385","1.4223","0.07%"
"Sep 16, 2007","1.4333","1.4456","1.4484","1.4240","-0.95%"
"Sep 09, 2007","1.4470","1.4713","1.4745","1.4447","-1.88%"
"Sep 02, 2007","1.4747","1.4797","1.4844","1.4705","-0.26%"
"Aug 26, 2007","1.4786","1.4725","1.4815","1.4684","0.41%"
"Aug 19, 2007","1.4726","1.4693","1.4804","1.4644","0.18%"
"Aug 12, 2007","1.4699","1.4771","1.4825","1.4668","-0.55%"
"Aug 05, 2007","1.4780","1.4763","1.4830","1.4663","-0.19%"
"Jul 29, 2007","1.4808","1.4840","1.4884","1.4767","-0.26%"
"Jul 22, 2007","1.4846","1.4852","1.4973","1.4838","-0.15%"
"Jul 15, 2007","1.4869","1.4756","1.4896","1.4750","0.74%"
"Jul 08, 2007","1.4760","1.4752","1.4813","1.4707","0.05%"
"Jul 01, 2007","1.4753","1.4826","1.4855","1.4743","-0.57%"
"Jun 24, 2007","1.4838","1.4840","1.4907","1.4811","-0.03%"
"Jun 17, 2007","1.4843","1.4768","1.4898","1.4754","0.56%"
"Jun 10, 2007","1.4760","1.4734","1.4859","1.4713","0.20%"
"Jun 03, 2007","1.4731","1.4740","1.4775","1.4682","-0.04%"
"May 27, 2007","1.4737","1.4749","1.4777","1.4677","-0.14%"
"May 20, 2007","1.4758","1.4602","1.4801","1.4591","0.97%"
"May 13, 2007","1.4616","1.4646","1.4665","1.4578","-0.18%"
"May 06, 2007","1.4642","1.4656","1.4751","1.4637","-0.10%"
"Apr 29, 2007","1.4657","1.4638","1.4712","1.4619","0.15%"
"Apr 22, 2007","1.4635","1.4740","1.4768","1.4609","-0.67%"
"Apr 15, 2007","1.4734","1.4649","1.4820","1.4637","0.34%"
"Apr 08, 2007","1.4684","1.4692","1.4760","1.4649","-0.03%"
"Apr 01, 2007","1.4689","1.4720","1.4826","1.4661","-0.31%"
"Mar 25, 2007","1.4735","1.4752","1.4812","1.4668","-0.20%"
"Mar 18, 2007","1.4764","1.4568","1.4779","1.4555","1.21%"
"Mar 11, 2007","1.4587","1.4735","1.4775","1.4557","-0.98%"
"Mar 04, 2007","1.4731","1.4718","1.4757","1.4610","-0.01%"
"Feb 25, 2007","1.4733","1.4918","1.4930","1.4723","-1.23%"
"Feb 18, 2007","1.4916","1.4852","1.4949","1.4795","0.49%"
"Feb 11, 2007","1.4844","1.4994","1.5044","1.4831","-1.01%"
"Feb 04, 2007","1.4996","1.5169","1.5215","1.4957","-1.14%"
"Jan 28, 2007","1.5169","1.5168","1.5194","1.5043","-0.02%"
"Jan 21, 2007","1.5172","1.5228","1.5303","1.5132","-0.35%"
"Jan 14, 2007","1.5225","1.5157","1.5267","1.5127","0.41%"
"Jan 07, 2007","1.5163","1.4831","1.5175","1.4824","2.18%"
"Dec 31, 2006","1.4839","1.4841","1.4876","1.4778","-0.01%"
"Dec 24, 2006","1.4840","1.4907","1.4953","1.4825","-0.46%"
"Dec 17, 2006","1.4909","1.4924","1.4947","1.4856","-0.03%"
"Dec 10, 2006","1.4914","1.4812","1.4945","1.4763","0.79%"
"Dec 03, 2006","1.4797","1.4820","1.4886","1.4720","-0.33%"
"Nov 26, 2006","1.4846","1.4777","1.4889","1.4730","0.62%"
"Nov 19, 2006","1.4754","1.4770","1.4833","1.4738","-0.16%"
"Nov 12, 2006","1.4777","1.4870","1.4885","1.4709","-0.69%"
"Nov 05, 2006","1.4880","1.4958","1.4962","1.4827","-0.45%"
"Oct 29, 2006","1.4948","1.4890","1.4996","1.4885","0.30%"
"Oct 22, 2006","1.4903","1.4921","1.4945","1.4864","-0.25%"
"Oct 15, 2006","1.4941","1.4840","1.4949","1.4816","0.76%"
"Oct 08, 2006","1.4829","1.4842","1.4865","1.4761","-0.09%"
"Oct 01, 2006","1.4842","1.4780","1.4903","1.4733","0.45%"
"Sep 24, 2006","1.4775","1.4856","1.4966","1.4712","-0.61%"
"Sep 17, 2006","1.4865","1.4859","1.4922","1.4777","0.01%"
"Sep 10, 2006","1.4864","1.4724","1.4867","1.4654","0.93%"
"Sep 03, 2006","1.4727","1.4838","1.4847","1.4679","-0.88%"
"Aug 27, 2006","1.4858","1.4790","1.4885","1.4765","0.41%"
"Aug 20, 2006","1.4798","1.4662","1.4823","1.4633","0.80%"
"Aug 13, 2006","1.4680","1.4864","1.4876","1.4653","-1.20%"
"Aug 06, 2006","1.4859","1.4802","1.4889","1.4761","0.27%"
"Jul 30, 2006","1.4819","1.4587","1.4829","1.4583","1.45%"
